"id","item","runtime","variant","metric","unit","ok","n","median","min","max","sd","cv","note"
"B-01","空スクリプト起動","node26","common","所要時間","ms","True","10","101.262","83.987","115.076","10.106","0.0999",""
"B-01","空スクリプト起動","node24","common","所要時間","ms","True","10","97.453","87.182","118.523","8.714","0.0887",""
"B-01","空スクリプト起動","deno","common","所要時間","ms","True","10","111.782","94.802","145.288","13.936","0.1233",""
"B-01","空スクリプト起動","bun","common","所要時間","ms","True","10","41.686","31.378","53.122","6.743","0.1607",""
"B-02","依存込み起動","node26","common","所要時間","ms","True","10","186.048","169.366","219.698","16.732","0.0875",""
"B-02","依存込み起動","node24","common","所要時間","ms","True","10","190.978","172.176","218.523","14.207","0.073",""
"B-02","依存込み起動","deno","common","所要時間","ms","True","10","199.942","177.456","214.266","13.964","0.0707",""
"B-02","依存込み起動","bun","common","所要時間","ms","True","10","66.914","59.259","78.65","7.894","0.1164",""
"B-09","TypeScript 実行","node26","common","所要時間","ms","True","10","223.982","190.891","242.375","18.444","0.0831",""
"B-09","TypeScript 実行","node24","common","所要時間","ms","True","10","239.781","217.286","255.922","13.429","0.0564",""
"B-09","TypeScript 実行","deno","common","所要時間","ms","True","10","178.833","159.146","219.501","17.918","0.0991",""
"B-09","TypeScript 実行","bun","common","所要時間","ms","True","10","99.916","91.432","117.902","7.681","0.075",""
"B-11","テスト実行","node26","common","所要時間","ms","True","10","302.526","272.578","319.994","14.896","0.0498",""
"B-11","テスト実行","node24","common","所要時間","ms","True","10","326.927","309.87","357.036","17.946","0.0544",""
"B-11","テスト実行","deno","common","所要時間","ms","True","10","241.261","211.217","275.88","19.181","0.0797",""
"B-11","テスト実行","bun","common","所要時間","ms","True","10","76.793","64.378","94.203","10.53","0.1346",""
"B-04","JSON 処理","node26","common","所要時間","ms","True","10","137.59","109.633","180.92","21.526","0.1544",""
"B-04","JSON 処理","node24","common","所要時間","ms","True","10","153.724","137.056","158.951","8.759","0.0586",""
"B-04","JSON 処理","deno","common","所要時間","ms","True","10","132.747","120.139","159.007","11.982","0.0889",""
"B-04","JSON 処理","bun","common","所要時間","ms","True","10","116.833","103.624","136.117","10.369","0.0895",""
"B-05","ファイル I/O","node26","common","所要時間","ms","True","10","3494.649","3384.567","3788.062","143.871","0.0407",""
"B-05","ファイル I/O","node24","common","所要時間","ms","True","10","3499.286","3363.862","3628.62","82.949","0.0237",""
"B-05","ファイル I/O","deno","common","所要時間","ms","True","10","3670.237","3584.872","4390.508","257.089","0.0684",""
"B-05","ファイル I/O","bun","common","所要時間","ms","True","10","3486.216","3351.074","3906.65","186.012","0.0524",""
"B-06","CPU バウンド処理","node26","common","所要時間","ms","True","10","908.618","864.511","977.584","37.982","0.0416",""
"B-06","CPU バウンド処理","node24","common","所要時間","ms","True","10","909.749","852.201","982.814","45.302","0.0493",""
"B-06","CPU バウンド処理","deno","common","所要時間","ms","True","10","896.841","856.88","1031.303","56.344","0.0613",""
"B-06","CPU バウンド処理","bun","common","所要時間","ms","True","10","502.12","442.066","594.815","41.825","0.0822",""
"B-07","SQLite","node26","common","所要時間","ms","True","10","262.892","243.807","299.287","17.896","0.0676",""
"B-07","SQLite","node24","common","所要時間","ms","True","10","264.068","249.917","312.431","22.356","0.082",""
"B-07","SQLite","deno","common","所要時間","ms","True","10","441.31","404.817","468.4","22.775","0.0522",""
"B-07","SQLite","bun","common","所要時間","ms","True","10","279.21","247.805","328.376","25.703","0.091",""
"B-03","HTTP スループット","node26","node:http","req/s","req/s","True","1","13437.415","13437.415","13437.415","0","0",""
"B-03","HTTP スループット","node24","node:http","req/s","req/s","True","1","14367.266","14367.266","14367.266","0","0",""
"B-03","HTTP スループット","deno","node:http","req/s","req/s","True","1","13946.378","13946.378","13946.378","0","0",""
"B-03","HTTP スループット","bun","node:http","req/s","req/s","True","1","18303.186","18303.186","18303.186","0","0",""
"B-03","HTTP スループット","deno","Deno.serve","req/s","req/s","True","1","23805.555","23805.555","23805.555","0","0",""
"B-03","HTTP スループット","bun","Bun.serve","req/s","req/s","True","1","23175.365","23175.365","23175.365","0","0",""
